中央台,#genre#
CCTV5体育,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv5HD/__op/default/__f//1/a48k/index.m3u8
CCTV6电影,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv6HD/__op/default/__f//index.m3u8
CCTV6电影,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv6HD/__op/default/__f//1/v2M/index.m3u8
CCTV6电影,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv6HD/__op/default/__f//1/a48k/index.m3u8
CCTV6电影,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv6HD/__op/default/__f//1/v1M/index.m3u8
CCTV7国防军事,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv7HD/__op/default/__f//index.m3u8
CCTV7国防军事,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv7HD/__op/default/__f//3/v2M/index.m3u8
CCTV7国防军事,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv7HD/__op/default/__f//3/a48k/index.m3u8
CCTV8电视剧,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv8HD/__op/default/__f//index.m3u8
CCTV8电视剧,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv8HD/__op/default/__f//1/v2M/index.m3u8
CCTV8电视剧,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv8HD/__op/default/__f//1/a48k/index.m3u8
CCTV8电视剧,http://121.51.249.89/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel8/index.m3u8
CCTV8电视剧,http://121.51.249.89/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel8/1300.m3u8
CCTV9纪录,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv9HD/__op/default/__f//index.m3u8
CCTV9纪录,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv9HD/__op/default/__f//3/v2M/index.m3u8
CCTV9纪录,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv9HD/__op/default/__f//3/a48k/index.m3u8
CCTV9纪录,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv9HD/__op/default/__f//3/v1M/index.m3u8
CCTV10科教,http://113.62.253.19/live.aishang.ctlcdn.com/00000110240015_1/playlist.m3u8?CONTENTID=00000110240015_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV10科教,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv10HD/__op/default/__f//index.m3u8
CCTV10科教,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv10HD/__op/default/__f//5/v2M/index.m3u8
CCTV10科教,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv10HD/__op/default/__f//5/v2M/index.m3u8
CCTV10科教,http://113.62.253.19/live.aishang.ctlcdn.com/00000110240015_1/encoder/0/playlist.m3u8?CONTENTID=00000110240015_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV11戏曲,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv11HD/__op/default/__f//index.m3u8
CCTV11戏曲,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv11HD/__op/default/__f//1/v2M/index.m3u8
CCTV11戏曲,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv11HD/__op/default/__f//1/a48k_zho/index.m3u8
CCTV11戏曲,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv11HD/__op/default/__f//1/v1M/index.m3u8
CCTV12社会与法,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv12HD/__op/default/__f//index.m3u8
CCTV12社会与法,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv12HD/__op/default/__f//3/v2M/index.m3u8
CCTV12社会与法,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv12HD/__op/default/__f//3/a48k/index.m3u8
CCTV13新闻,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv13_2/index.m3u8
CCTV13新闻,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv13_2/index.m3u8?BR=md&region=shanghai
CCTV13新闻,http://baidu.live.cqccn.com/__cl/cg:live/__c/CCTVNewsHD/__op/default/__f//index.m3u8
CCTV13新闻,http://baidu.live.cqccn.com/__cl/cg:live/__c/CCTVNewsHD/__op/default/__f//3/v2M/index.m3u8
CCTV13新闻,http://baidu.live.cqccn.com/__cl/cg:live/__c/CCTVNewsHD/__op/default/__f//3/a48k_zho/index.m3u8
CCTV14少儿,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctvseHD/__op/default/__f//index.m3u8
CCTV14少儿,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctvseHD/__op/default/__f//1/v2M/index.m3u8
CCTV14少儿,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctvseHD/__op/default/__f//1/a48k/index.m3u8
CCTV15音乐,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv15HD/__op/default/__f//index.m3u8
CCTV15音乐,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv15HD/__op/default/__f//1/v2M/index.m3u8
CCTV15音乐,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv15HD/__op/default/__f//1/a48k_zho/index.m3u8
CCTV15音乐,http://121.51.249.94/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel40/index.m3u8
CCTV15音乐,http://121.51.249.94/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel40/1300.m3u8
CCTV16奥林匹克,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv16HD/__op/default/__f//index.m3u8
CCTV16奥林匹克,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv16HD/__op/default/__f//1/v2M/index.m3u8
CCTV16奥林匹克,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv16HD/__op/default/__f//1/a48k_zho/index.m3u8
CCTV17农业农村,hhttp://baidu.live.cqccn.com/__cl/cg:live/__c/cctv17HD/__op/default/__f//2/v2M/index.m3u8
CCTV17农业农村,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv17HD/__op/default/__f//2/a48k/index.m3u8
CCTV17农业农村,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv17HD/__op/default/__f//2/v4M/index.m3u8
CCTV17农业农村,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv17HD/__op/default/__f//index.m3u8?blog.ntnas.top
CCTV17农业农村,http://tvmvip110.club/as.php?id=cctv17hd
CCTV17农业农村,http://tvmvip110.club/bst.php?id=109
CCTV17农业农村,http://live.cooltv.top/tv/aishang.php?id=cctv17
CCTV17农业农村,http://175.10.37.200:9901/tsfile/live/0017_1.m3u8
CCTV17农业农村,http://218.29.55.44:808/hls/17/index.m3u8
CCTV5+体育赛事,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv5SportHD/__op/default/__f//index.m3u8
CCTV5+体育赛事,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv5SportHD/__op/default/__f//3/v2M/index.m3u8
CCTV5+体育赛事,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv5SportHD/__op/default/__f//3/a48k/index.m3u8
CETV1中教1台,http://txycsbl.centv.cn/zb/0628cetv1.m3u8
CETV1中教1台,http://txycetvbl.centv.cn/cetv1/ypd.m3u8
CETV1中教1台,http://baidu.live.cqccn.com/__cl/cg:live/__c/cetv-1SD/__op/default/__f//index.m3u8
CETV1中教1台,http://baidu.live.cqccn.com/__cl/cg:live/__c/cetv-1SD/__op/default/__f//1/v2M/index.m3u8
CETV2中教2台,http://txycsbl.centv.cn/zb/0822cetv2.m3u8
CETV2中教2台,http://121.51.249.19/livehkkp.chinamcache.com/live/CETV-2.m3u8
CETV2中教2台,http://tvmvip110.club/as.php?id=cetv2
CETV3中教3台,http://txycetvbl.centv.cn/cetv3/bjdm.m3u8
CETV4中教4台,http://txycsbl.centv.cn/zb/0822cetv4.m3u8
CETV4中教4台,http://baidu.live.cqccn.com/__cl/cg:live/__c/cetv-4SD/__op/default/__f//index.m3u8
CETV4中教4台,http://baidu.live.cqccn.com/__cl/cg:live/__c/cetv-4SD/__op/default/__f//1/v2M/index.m3u8
CETV4中教4台,http://baidu.live.cqccn.com/__cl/cg:live/__c/cetv-4SD/__op/default/__f//1/a48k/index.m3u8
CETV4中教4台,http://baidu.live.cqccn.com/__cl/cg:live/__c/cetv-4SD/__op/default/__f//1/v1M/index.m3u8
CETV4中教4台,http://baidu.live.cqccn.com/__cl/cg:live/__c/cetv-4SD/__op/default/__f//index.m3u8?blog.ntnas.top
CETV4中教4台,http://txycetvbl.centv.cn/cetv4/zjpd.m3u8
CETV早期教育,http://baidu.live.cqccn.com/__cl/cg:live/__c/zaojiaoHD/__op/default/__f//index.m3u8
CETV早期教育,http://baidu.live.cqccn.com/__cl/cg:live/__c/zaojiaoHD/__op/default/__f//1/v2M/index.m3u8
CETV早期教育,http://baidu.live.cqccn.com/__cl/cg:live/__c/zaojiaoHD/__op/default/__f//1/a48k_zho/index.m3u8
CETV早期教育,http://baidu.live.cqccn.com/__cl/cg:live/__c/zaojiaoHD/__op/default/__f//1/v1M/index.m3u8
CGTN,http://live.cgtn.com/1000/prog_index.m3u8
CGTN,http://news.cgtn.com/resource/live/english/cgtn-news.m3u8
CGTN纪录,http://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
CGTN纪录,https://livedoc.cgtn.com/1000d/prog_index.m3u8
CGTN西语,http://news.cgtn.com/resource/live/espanol/cgtn-e.m3u8
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8
CGTN法语,http://news.cgtn.com/resource/live/french/cgtn-f.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN俄语,http://news.cgtn.com/resource/live/russian/cgtn-r.m3u8
CGTN俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN阿语,http://news.cgtn.com/resource/live/arabic/cgtn-a.m3u8
CGTN阿语,https://livear.cgtn.com/1000a/prog_index.m3u8
中央数字频道,#genre#
兵器时代,http://baidu.live.cqccn.com/__cl/cg:live/__c/bqkjHD/__op/default/__f//index.m3u8
兵器时代,http://baidu.live.cqccn.com/__cl/cg:live/__c/bqkjHD/__op/default/__f//1/v2M/index.m3u8
兵器时代,http://baidu.live.cqccn.com/__cl/cg:live/__c/bqkjHD/__op/default/__f//1/a48k_zho/index.m3u8
文化精品,http://baidu.live.cqccn.com/__cl/cg:live/__c/yswhHD/__op/default/__f//index.m3u8
文化精品,http://baidu.live.cqccn.com/__cl/cg:live/__c/yswhHD/__op/default/__f//1/v2M/index.m3u8
文化精品,http://baidu.live.cqccn.com/__cl/cg:live/__c/yswhHD/__op/default/__f//1/a48k_zho/index.m3u8
文化精品,http://baidu.live.cqccn.com/__cl/cg:live/__c/yswhHD/__op/default/__f//1/v4M/index.m3u8
文化精品,http://baidu.live.cqccn.com/__cl/cg:live/__c/yswhHD/__op/default/__f//1/v1M/index.m3u8
文化精品,http://baidu.live.cqccn.com/__cl/cg:live/__c/yswhHD/__op/default/__f//1/v6M/index.m3u8
第一剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/diyijuchangHD/__op/default/__f//index.m3u8
第一剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/diyijuchangHD/__op/default/__f//2/v2M/index.m3u8
第一剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/diyijuchangHD/__op/default/__f//2/a48k/index.m3u8
怀旧剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/hjjcHD/__op/default/__f//index.m3u8
怀旧剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/hjjcHD/__op/default/__f//1/v2M/index.m3u8
怀旧剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/hjjcHD/__op/default/__f//1/a48k_zho/index.m3u8
风云剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/fyjcHD/__op/default/__f//index.m3u8
风云剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/fyjcHD/__op/default/__f//1/v2M/index.m3u8
风云剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/fyjcHD/__op/default/__f//1/a48k_zho/index.m3u8
风云剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/shandongHD/__op/default/__f//index.m3u8
风云剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/shandongHD/__op/default/__f//4/v2M/index.m3u8
风云剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/shandongHD/__op/default/__f//4/a48k/index.m3u8
风云剧场,http://baidu.live.cqccn.com/__cl/cg:live/__c/shandongHD/__op/default/__f//4/v1M/index.m3u8
风云音乐,http://baidu.live.cqccn.com/__cl/cg:live/__c/fyyyHD/__op/default/__f//index.m3u8
风云音乐,http://baidu.live.cqccn.com/__cl/cg:live/__c/fyyyHD/__op/default/__f//1/v2M/index.m3u8
风云音乐,http://baidu.live.cqccn.com/__cl/cg:live/__c/fyyyHD/__op/default/__f//1/a48k_zho/index.m3u8
风云足球,http://baidu.live.cqccn.com/__cl/cg:live/__c/fyzqHD/__op/default/__f//index.m3u8
风云足球,http://baidu.live.cqccn.com/__cl/cg:live/__c/fyzqHD/__op/default/__f//1/a48k_zho/index.m3u8
风云足球,http://baidu.live.cqccn.com/__cl/cg:live/__c/fyzqHD/__op/default/__f//1/v2M/index.m3u8
风云足球,http://baidu.live.cqccn.com/__cl/cg:live/__c/fyzqHD/__op/default/__f//1/v1M/index.m3u8
女性时尚,http://baidu.live.cqccn.com/__cl/cg:live/__c/nvxing/__op/default/__f//index.m3u8
女性时尚,http://baidu.live.cqccn.com/__cl/cg:live/__c/nvxing/__op/default/__f//1/v2M/index.m3u8
女性时尚,http://baidu.live.cqccn.com/__cl/cg:live/__c/nvxing/__op/default/__f//1/a48k_zho/index.m3u8
高尔夫网球,http://baidu.live.cqccn.com/__cl/cg:live/__c/golfHD/__op/default/__f//index.m3u8
高尔夫网球,http://baidu.live.cqccn.com/__cl/cg:live/__c/golfHD/__op/default/__f//1/v2M/index.m3u8
高尔夫网球,http://baidu.live.cqccn.com/__cl/cg:live/__c/golfHD/__op/default/__f//1/a48k_zho/index.m3u8
中央新影-老故事,http://baidu.live.cqccn.com/__cl/cg:live/__c/gushi/__op/default/__f//index.m3u8
中央新影-老故事,http://baidu.live.cqccn.com/__cl/cg:live/__c/gushi/__op/default/__f//1/v2M/index.m3u8
中央新影-老故事,http://baidu.live.cqccn.com/__cl/cg:live/__c/gushi/__op/default/__f//1/a48k_zho/index.m3u8
中央新影-中学生,http://baidu.live.cqccn.com/__cl/cg:live/__c/qicai/__op/default/__f//index.m3u8
中央新影-中学生,http://baidu.live.cqccn.com/__cl/cg:live/__c/qicai/__op/default/__f//1/v2M/index.m3u8
中央新影-中学生,http://baidu.live.cqccn.com/__cl/cg:live/__c/qicai/__op/default/__f//1/a48k_zho/index.m3u8
中央新影-发现之旅,http://baidu.live.cqccn.com/__cl/cg:live/__c/faxian/__op/default/__f//index.m3u8
中央新影-发现之旅,http://baidu.live.cqccn.com/__cl/cg:live/__c/faxian/__op/default/__f//1/v2M/index.m3u8
中央新影-发现之旅,http://baidu.live.cqccn.com/__cl/cg:live/__c/faxian/__op/default/__f//1/a48k_zho/index.m3u8
书画频道,http://baidu.live.cqccn.com/__cl/cg:live/__c/shuhua/__op/default/__f//index.m3u8
书画频道,http://baidu.live.cqccn.com/__cl/cg:live/__c/shuhua/__op/default/__f//1/v2M/index.m3u8
党干远程教育,http://12371wbndbd.a.bdydns.com/12371wbnd/dangyuanwang_2/index.m3u8
党干远程教育,http://12371wbndbd.a.bdydns.com/12371wbnd/dangyuanwang_2/index.m3u8?BR=single
中国天气,http://baidu.live.cqccn.com/__cl/cg:live/__c/tianqiSD/__op/default/__f//index.m3u8
中国天气,http://baidu.live.cqccn.com/__cl/cg:live/__c/tianqiSD/__op/default/__f//1/v2M/index.m3u8
中国天气,http://baidu.live.cqccn.com/__cl/cg:live/__c/tianqiSD/__op/default/__f//1/a48k/index.m3u8
CCTV-央广购物,http://baidu.live.cqccn.com/__cl/cg:live/__c/yggw/__op/default/__f//index.m3u8
CCTV-央广购物,http://baidu.live.cqccn.com/__cl/cg:live/__c/yggw/__op/default/__f//1/v2M/index.m3u8
CCTV-央广购物,http://baidu.live.cqccn.com/__cl/cg:live/__c/yggw/__op/default/__f//1/a48k_zho/index.m3u8
CNC新闻中文台,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CNC新闻英文台,http://source07.v.news.cn/live/CNC_EN/playlist.m3u8
CHC高清电影,http://baidu.live.cqccn.com/__cl/cg:live/__c/chcgqdyHD/__op/default/__f//index.m3u8
CHC高清电影,http://baidu.live.cqccn.com/__cl/cg:live/__c/chcgqdyHD/__op/default/__f//1/v2M/index.m3u8
CHC高清电影,hhttp://baidu.live.cqccn.com/__cl/cg:live/__c/chcgqdyHD/__op/default/__f//1/a48k_zho/index.m3u8
CHC动作电影,http://baidu.live.cqccn.com/__cl/cg:live/__c/chcdzdyHD/__op/default/__f//index.m3u8
CHC动作电影,http://baidu.live.cqccn.com/__cl/cg:live/__c/chcdzdyHD/__op/default/__f//1/v2M/index.m3u8
CHC动作电影,http://baidu.live.cqccn.com/__cl/cg:live/__c/chcdzdyHD/__op/default/__f//1/a48k_zho/index.m3u8
CHC家庭影院,http://baidu.live.cqccn.com/__cl/cg:live/__c/chcjtyyHD/__op/default/__f//index.m3u8
CHC家庭影院,http://baidu.live.cqccn.com/__cl/cg:live/__c/chcjtyyHD/__op/default/__f//1/v2M/index.m3u8
CHC家庭影院,http://baidu.live.cqccn.com/__cl/cg:live/__c/chcjtyyHD/__op/default/__f//1/a48k_zho/index.m3u8
CEC汉语文化,http://play.cec-tv.com.cn/channel/cec-tv1.m3u8
CEC国际旅游,http://play.cec-tv.com.cn/channel/cec-tv2.m3u8
CEC国际教育,http://play.cec-tv.com.cn/channel/cec-tv3.m3u8
CEC国际健康,http://play.cec-tv.com.cn/channel/cec-tv4.m3u8





卫视,#genre#
北京卫视,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8?time=1676289762&sign=f05ff2f948068a4a997df78397682948
东方卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/shanghaiHD/__op/default/__f//index.m3u8
东方卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/shanghaiHD/__op/default/__f//3/v2M/index.m3u8
东方卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/shanghaiHD/__op/default/__f//3/a48k/index.m3u8
天津卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/tianjinHD/__op/default/__f//index.m3u8
天津卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/tianjinHD/__op/default/__f//4/v2M/index.m3u8
天津卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/tianjinHD/__op/default/__f//4/a48k/index.m3u8
重庆卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/chongqingHD/__op/default/__f//index.m3u8
重庆卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/chongqingHD/__op/default/__f//7/v2M/index.m3u8
重庆卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/chongqingHD/__op/default/__f//7/a48k/index.m3u8
黑龙江卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/heilongjiangHD/__op/default/__f//index.m3u8
黑龙江卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/heilongjiangHD/__op/default/__f//3/v2M/index.m3u8
黑龙江卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/heilongjiangHD/__op/default/__f//3/a48k/index.m3u8
吉林卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/jilinHD/__op/default/__f//index.m3u8
吉林卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/jilinHD/__op/default/__f//4/v2M/index.m3u8
吉林卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/jilinHD/__op/default/__f//4/a48k/index.m3u8
吉林卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/jilinHD/__op/default/__f//4/v1M/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
辽宁卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/liaoningHD/__op/default/__f//index.m3u8
辽宁卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/liaoningHD/__op/default/__f//6/v2M/index.m3u8
辽宁卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/liaoningHD/__op/default/__f//6/a48k/index.m3u8
辽宁卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/liaoningHD/__op/default/__f//6/v1M/index.m3u8
辽宁卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/liaoningHD/__op/default/__f//6/v4M/index.m3u8
辽宁卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/liaoningHD/__op/default/__f//6/v6M/index.m3u8
内蒙古卫视,https://live2.m2oplus.nmtv.cn/00/playlist.m3u8?sign=d80d5c94dda565dd3fa23bbd66a859b2&t=1676298096
内蒙古卫视,https://live2.m2oplus.nmtv.cn/00/hd/live.m3u8?sign=f99599642897780373ccb09b0dffb9d1&t=1676298125
内蒙古卫视,http://121.51.249.45/liveplay-kk.rtxapp.com/live/program/live/nmgws/1300000/mnf.m3u8
内蒙古蒙语,https://live2.m2oplus.nmtv.cn/01/playlist.m3u8?sign=63de552a734a29a88787b3695445737a&t=1676298360
内蒙古蒙语,https://live2.m2oplus.nmtv.cn/01/hd/live.m3u8?sign=0ee2a17b34df69be598d262a1ab15929&t=1676298359
宁夏卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/ningxia/__op/default/__f//index.m3u8
宁夏卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/ningxia/__op/default/__f//1/v2M/index.m3u8
宁夏卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/ningxia/__op/default/__f//1/a48k_zho/index.m3u8
甘肃卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225724/index.m3u8
甘肃卫视,http://125.210.152.19:9120/live/hszx-gstv-h264.m3u8
甘肃卫视,http://139.9.188.172:5678/sxg.php?id=gsws_4000
甘肃卫视,http://tvmvip110.club/as.php?id=gsws
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
青海卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/qinghaiSD/__op/default/__f//index.m3u8
青海卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/qinghaiSD/__op/default/__f//1/v2M/index.m3u8
青海卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/qinghaiSD/__op/default/__f//1/a48k/index.m3u8
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
陕西卫视,http://124.220.17.172/as.php?id=43
陕西卫视,http://lu1.cc/c/tv/sjtv/sx/sxxl.php?id=sxws
陕西卫视,http://121.51.249.45/liveplay-kk.rtxapp.com/live/program/live/sxws/1300000/mnf.m3u8
农林卫视,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225521/index.m3u8
河北卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/hebeiSD/__op/default/__f//index.m3u8
河北卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/hebeiSD/__op/default/__f//3/v2M/index.m3u8
